INJ_OBD;INJ_HW;IGN;IAC;RPM;MAP;ECT;TPS;SPD;O2SENS;AVG SPD;LPK_OBD;LPH_OBD;LPH_INJ;TOTAL_OBD;TOTAL_INJ;AVG_OBD;AVG_INJ;CURR_OBD;CURR_INJ;CURR_RUN;RUN_TOTAL;INJ_CLOSED;CLOSED_DUR;SAVED_FUEL;;;ÊÃ\× ÂÎÇÄÓÕÀ;;ãð\ñåê;;;1;0.75
2.25;2.39;18.41;37.25;1150;2;82.11;0;63;2.5;79.16;2.96;1.86;1.98;23.22;23.62;27.35;28.41;0.49;0.51;1.78;175.62;3740056;3005750.5;12.02;;5.69625;20.5065;;5.69625;2.848125;;;
2.25;2.39;18.41;37.25;1150;2;82.11;0;63;2.5;79.16;2.96;1.86;1.98;23.22;23.62;27.35;28.41;0.49;0.51;1.78;175.62;3740056;3005750.5;12.02;;5.69625;20.5065;;5.69625;2.848125;;;
2.25;2.34;18.41;37.25;1150;2;82.11;0;63;2.5;79.16;2.96;1.86;1.94;23.22;23.62;27.35;28.41;0.49;0.51;1.78;175.62;3740056;3005750.5;12.02;;5.69625;20.5065;;5.69625;2.848125;;;
2.25;2.34;18.41;37.25;1150;2;82.11;0;63;2.5;79.16;2.96;1.86;1.94;23.22;23.62;27.35;28.41;0.49;0.51;1.78;175.62;3740056;3005750.5;12.02;;5.69625;20.5065;;5.69625;2.848125;;;
2.25;2.34;18.41;37.25;1150;2;82.11;0;63;2.5;79.16;2.96;1.86;1.94;23.22;23.62;27.35;28.41;0.49;0.51;1.78;175.62;3740056;3005750.5;12.02;;5.69625;20.5065;;5.69625;2.848125;;;
2.25;2.34;16.06;37.25;1150;2;82.11;0;65;2.5;79.15;2.87;1.86;1.94;23.22;23.62;27.03;28.06;0.49;0.51;1.81;175.64;3740056;3005750.5;12.02;;5.69625;20.5065;;5.69625;2.848125;;;
2.25;2.34;16.06;37.25;1150;2;82.11;0;65;2.5;79.15;2.87;1.86;1.94;23.22;23.62;27.03;28.06;0.49;0.51;1.81;175.64;3740056;3005750.5;12.02;;5.69625;20.5065;;5.69625;2.848125;;;
2.25;2.34;16.06;37.25;1150;2;82.11;0;65;2.5;79.15;2.87;1.86;1.94;23.22;23.62;27.03;28.06;0.49;0.51;1.81;175.64;3740056;3005750.5;12.02;;5.69625;20.5065;;5.69625;2.848125;;;
2.25;2.33;16.06;37.25;1150;2;82.11;0;65;2.5;79.15;2.87;1.86;1.93;23.22;23.62;27.03;28.06;0.49;0.51;1.81;175.64;3740056;3005750.5;12.02;;5.69625;20.5065;;5.69625;2.848125;;;
2.25;2.32;16.06;37.25;1150;2;82.11;0;65;2.5;79.15;2.87;1.86;1.92;23.22;23.62;27.03;28.06;0.49;0.51;1.81;175.64;3740056;3005750.5;12.02;;5.69625;20.5065;;5.69625;2.848125;;;
2.25;2.32;16.06;37.25;1150;2;82.11;0;65;2.5;79.15;2.87;1.86;1.92;23.22;23.62;27.03;28.06;0.49;0.51;1.81;175.64;3740056;3005750.5;12.02;;5.69625;20.5065;;5.69625;2.848125;;;
2.25;2.36;16.06;37.25;1150;2;82.11;0;65;2.5;79.15;2.87;1.86;1.95;23.22;23.62;27.03;28.06;0.49;0.51;1.81;175.64;3740056;3005750.5;12.02;;5.69625;20.5065;;5.69625;2.848125;;;
2.25;2.36;16.06;37.25;1150;2;82.11;0;65;2.5;79.15;2.87;1.86;1.96;23.22;23.62;27.03;28.06;0.49;0.51;1.81;175.64;3740056;3005750.5;12.02;;5.69625;20.5065;;5.69625;2.848125;;;
2.25;2.36;16.06;37.25;1150;2;82.11;0;65;2.5;79.15;2.87;1.86;1.96;23.22;23.62;27.03;28.06;0.49;0.51;1.81;175.64;3740056;3005750.5;12.02;;5.69625;20.5065;;5.69625;2.848125;;;
2.25;2.36;16.06;37.25;1150;2;82.11;0;65;2.5;79.15;2.87;1.86;1.96;23.22;23.62;26.71;27.75;0.49;0.51;1.83;175.66;3740056;3005750.5;12.02;;5.69625;20.5065;;5.69625;2.848125;;;
2.25;2.36;16.06;37.25;1150;2;82.11;0;65;2.5;79.15;2.87;1.86;1.94;23.22;23.62;26.71;27.75;0.49;0.51;1.83;175.66;3740056;3005750.5;12.02;;5.69625;20.5065;;5.69625;2.848125;;;
2.25;2.34;16.06;37.25;1150;2;82.11;0;65;2.5;79.15;2.87;1.86;1.94;23.22;23.62;26.71;27.75;0.49;0.51;1.83;175.66;3740056;3005750.5;12.02;;5.69625;20.5065;;5.69625;2.848125;;;
2.25;2.33;16.06;37.25;1150;2;82.11;0;65;2.5;79.15;2.87;1.86;1.93;23.22;23.62;26.71;27.75;0.49;0.51;1.83;175.66;3740056;3005750.5;12.02;;5.69625;20.5065;;5.69625;2.848125;;;
2.25;2.33;16.06;37.25;1150;2;82.11;0;65;2.5;79.15;2.87;1.86;1.91;23.22;23.62;26.71;27.75;0.49;0.51;1.83;175.66;3740056;3005750.5;12.02;;5.69625;20.5065;;5.69625;2.848125;;;
